LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,Income,Employment,EducationScore,CrimeScore,LivingEnvironmentScore,POP2022Total,Period_Total_Crimes,Crime_Rate
E01014641,Bristol 007A,Coombe Dingle East,14.04,15.7,11.0,20.6,0.0,10.2,1523,129,84.70124753775443
E01014642,Bristol 007B,Coombe Dingle West,13.15,15.0,9.8,12.6,0.1,12.3,1499,90,60.04002668445631
E01014643,Bristol 007C,Sea Mills South,38.23,36.0,23.1,48.1,1.2,22.2,1416,179,126.41242937853106
E01014644,Bristol 007D,Sea Mills North,25.59,29.1,15.6,41.4,0.6,6.0,1684,129,76.60332541567696
E01014645,Bristol 042A,Red Lion Hill,18.61,17.3,13.1,18.1,0.6,23.4,1663,85,51.11244738424534
E01014646,Bristol 042B,Knowle Park,23.05,25.4,16.2,36.3,0.5,10.2,1804,137,75.94235033259423
E01014647,Bristol 044D,Ilminster Avenue East,43.8,44.5,23.9,73.1,1.0,9.7,1789,175,97.82001117942984
E01014648,Bristol 042C,Upper Knowle,12.9,9.6,8.2,3.6,0.3,50.0,1725,120,69.56521739130434
E01014649,Bristol 042D,Redcatch,8.96,7.1,8.1,2.9,-0.3,40.1,1772,61,34.42437923250564
E01014650,Bristol 044E,Broadwalk,20.99,20.2,13.7,35.5,0.5,12.1,1662,145,87.24428399518652
E01014651,Bristol 042E,Talbot Hill,7.31,7.1,5.1,2.1,-0.3,39.1,1784,79,44.28251121076234
E01014653,Bristol 055B,Easton Road,59.94,60.7,31.9,53.3,1.4,45.0,2748,509,185.22561863173217
E01014654,Bristol 056A,St Judes,46.92,48.1,24.1,51.1,1.5,42.2,2590,674,260.2316602316602
E01014655,Bristol 055C,Stapleton Road,42.43,41.9,22.2,34.6,1.5,54.0,2639,352,133.38385752178854
E01014658,Bristol 056B,St Philips,54.81,61.6,30.7,57.8,0.7,21.7,2511,403,160.49382716049382
E01014659,Bristol 005C,Filton Avenue North,36.59,39.7,18.8,40.5,0.8,11.1,2188,278,127.05667276051189
E01014660,Bristol 014A,Lockleaze North,33.05,30.8,19.4,37.8,0.8,4.3,2233,299,133.90058217644423
E01014661,Bristol 005D,Filton Avenue South,27.75,31.9,15.7,38.0,0.4,16.0,1795,137,76.32311977715878
E01014662,Bristol 010D,Horfield Sports Ground,17.07,22.4,10.1,17.2,-0.2,24.1,1686,130,77.1055753262159
E01014663,Bristol 014B,Lockleaze South,37.01,38.3,22.3,43.3,1.0,9.8,1627,229,140.7498463429625
E01014664,Bristol 014C,Muller Road,31.11,32.0,15.2,25.4,1.4,21.7,1741,423,242.96381390005746
E01014665,Bristol 014D,Eastgate,19.83,19.3,10.6,22.4,0.7,42.2,2189,813,371.40246687985376
E01014666,Bristol 017C,Cranbrook Road,2.77,3.5,3.9,0.7,-1.4,23.8,1919,38,19.801980198019802
E01014667,Bristol 017D,Westbury Park South,4.33,3.6,2.5,0.3,-1.4,38.0,1704,58,34.03755868544601
E01014668,Bristol 020C,Berkeley Road South,5.93,3.2,2.9,0.2,-0.2,42.4,1638,152,92.7960927960928
E01014669,Bristol 020D,Redland Court Road,5.9,5.8,4.4,1.5,-0.8,39.9,1641,57,34.73491773308958
E01014670,Bristol 020E,Zetland Road,10.45,3.7,4.8,0.4,0.0,60.9,1543,44,28.515878159429683
E01014671,Bristol 020F,St Andrews Park,13.9,6.5,4.7,0.9,0.9,59.2,1738,129,74.22324510932106
E01014672,Bristol 017E,Manor Park,5.99,6.1,4.6,1.1,-0.9,36.2,2183,96,43.9761795693999
E01014673,Bristol 027A,Two Mile Hill East,22.02,22.0,12.0,26.4,0.5,30.3,1929,172,89.16537065837221
E01014675,Bristol 027C,Two Mile Hill West,18.22,18.0,9.5,20.4,0.5,33.6,1738,146,84.00460299194476
E01014676,Bristol 027D,Kingsway,22.45,22.9,15.5,28.5,0.3,18.1,1549,110,71.0135571336346
E01014677,Bristol 033A,Crews Hole,8.74,11.1,5.6,7.5,-0.3,16.6,1527,66,43.222003929273086
E01014678,Bristol 033B,Nags Head Hill,15.28,14.6,11.6,15.1,0.0,30.8,1690,149,88.16568047337279
E01014679,Bristol 033C,Bryants Hill,12.38,11.6,8.4,24.4,-0.2,22.2,1610,76,47.204968944099384
E01014680,Bristol 033D,Conham Valley,8.62,8.6,7.5,15.8,-0.8,17.6,1315,35,26.61596958174905
E01014681,Bristol 029D,Redfield,23.7,20.7,12.3,22.8,0.8,42.1,2576,424,164.59627329192548
E01014682,Bristol 028A,West St George,20.54,18.8,10.7,14.5,1.0,35.7,1740,131,75.28735632183908
E01014683,Bristol 028B,Clouds Hill,27.73,27.8,16.9,20.0,0.8,33.6,1869,162,86.67736757624398
E01014684,Bristol 029E,St Georges Park,23.01,19.5,12.3,12.6,1.1,39.4,1951,219,112.25012813941568
E01014685,Bristol 028C,Whiteway,33.61,35.3,20.0,50.0,0.4,15.3,1665,99,59.45945945945946
E01014686,Bristol 028D,Plummers Hill,18.62,20.9,13.5,22.9,0.0,16.8,1874,103,54.96264674493063
E01014687,Bristol 028E,East St George,22.99,21.9,12.9,23.8,0.5,32.0,1562,197,126.12035851472473
E01014688,Bristol 002A,Trymside,38.15,39.1,20.1,51.9,1.0,13.2,1899,154,81.09531332280147
E01014689,Bristol 002B,Southmead Central,58.3,54.5,26.3,78.9,1.8,14.7,1636,597,364.91442542787286
E01014690,Bristol 002C,Southmead East,28.84,29.3,16.1,37.9,0.7,6.0,2282,138,60.473269062226116
E01014691,Bristol 002D,Southmead West,30.54,30.5,21.0,31.7,0.7,9.9,2042,154,75.41625857002938
E01014692,Bristol 002E,Fonthill,33.9,34.3,17.5,39.6,0.5,13.5,1762,91,51.64585698070375
E01014693,Bristol 002F,Charlton Mead,7.07,7.3,6.1,12.3,-1.2,6.9,1418,75,52.89139633286319
E01014694,Bristol 002G,Southmead North,31.23,32.6,20.0,38.9,0.6,7.6,1735,138,79.53890489913545
E01014695,Bristol 036A,Bower Ashton,23.55,22.0,15.5,8.6,1.0,28.1,2078,313,150.62560153994227
E01014696,Bristol 036B,Hamilton Road,6.08,7.6,4.2,0.6,-0.2,33.5,1872,188,100.42735042735043
E01014698,Bristol 036C,Stackpool Road,7.79,9.4,4.3,1.6,-0.5,40.4,1957,79,40.3679100664282
